Terminate!
aid: 3, oid: 1317, r: -11.0
aid: 1, oid: 1301, r: -1.0
aid: 0, oid: 1301, r: -11.0
aid: 0, oid: 1301, r: -11.0
aid: 3, oid: 16661, r: -11.0
aid: 0, oid: 16661, r: -11.0
aid: 2, oid: 1317, r: -51.0
Terminate!
aid: 1, oid: 1301, r: -1.0
aid: 1, oid: 1825, r: -1.0
aid: 3, oid: 538, r: -1.0
aid: 3, oid: 1554, r: -1.0
aid: 1, oid: 1554, r: -11.0
aid: 0, oid: 538, r: -1.0
aid: 2, oid: 538, r: -11.0
aid: 1, oid: 538, r: -11.0
aid: 2, oid: 2586, r: -11.0
aid: 1, oid: 538, r: -61.0
Terminate!
aid: 2, oid: 1809, r: -1.0
aid: 3, oid: 538, r: -1.0
aid: 1, oid: 538, r: -11.0
aid: 1, oid: 538, r: -11.0
aid: 0, oid: 17169, r: -1.0
aid: 3, oid: 538, r: -1.0
aid: 2, oid: 538, r: -11.0
aid: 3, oid: 2856, r: 9.0
aid: 3, oid: 3602, r: -1.0
aid: 3, oid: 2586, r: -1.0
aid: 1, oid: 2586, r: -11.0
aid: 1, oid: 2586, r: -11.0
aid: 1, oid: 2586, r: -11.0
aid: 1, oid: 538, r: -61.0
Terminate!
aid: 3, oid: 293, r: -11.0
aid: 1, oid: 277, r: -1.0
aid: 3, oid: 277, r: -11.0
aid: 1, oid: 785, r: -1.0
aid: 2, oid: 277, r: -1.0
aid: 2, oid: 293, r: -1.0
aid: 3, oid: 293, r: -11.0
aid: 0, oid: 293, r: -11.0
aid: 3, oid: 293, r: -11.0
aid: 3, oid: 293, r: -11.0
aid: 1, oid: 277, r: -1.0
aid: 1, oid: 785, r: -1.0
aid: 2, oid: 277, r: -1.0
aid: 2, oid: 293, r: -1.0
aid: 3, oid: 293, r: -11.0
aid: 1, oid: 277, r: -1.0
aid: 1, oid: 785, r: -1.0
aid: 0, oid: 785, r: -11.0
aid: 1, oid: 404, r: -1.0
aid: 2, oid: 785, r: -1.0
aid: 3, oid: 538, r: -1.0
aid: 2, oid: 538, r: -11.0
aid: 0, oid: 785, r: -1.0
aid: 3, oid: 538, r: -1.0
aid: 1, oid: 538, r: -11.0
aid: 3, oid: 1554, r: 9.0
aid: 3, oid: 792, r: -1.0
aid: 1, oid: 277, r: -1.0
aid: 2, oid: 792, r: -1.0
aid: 2, oid: 792, r: -11.0
aid: 0, oid: 1554, r: -1.0
aid: 3, oid: 792, r: -1.0
aid: 3, oid: 538, r: -1.0
aid: 2, oid: 538, r: -11.0
aid: 0, oid: 792, r: -1.0
aid: 1, oid: 277, r: -1.0
aid: 2, oid: 792, r: -1.0
aid: 3, oid: 2586, r: -1.0
aid: 3, oid: 7188, r: 9.0
aid: 3, oid: 7188, r: -11.0
aid: 0, oid: 2074, r: -1.0
aid: 1, oid: 8218, r: -61.0
Terminate!
aid: 1, oid: 1061, r: -1.0
aid: 2, oid: 1045, r: -1.0
aid: 1, oid: 1061, r: -1.0
aid: 0, oid: 1061, r: -11.0
aid: 0, oid: 1061, r: -11.0
aid: 3, oid: 1061, r: -11.0
aid: 1, oid: 1569, r: -1.0
aid: 3, oid: 538, r: -1.0
aid: 3, oid: 1554, r: -1.0
aid: 1, oid: 1554, r: -11.0
aid: 1, oid: 1554, r: -11.0
aid: 3, oid: 792, r: 9.0
aid: 3, oid: 538, r: 9.0
aid: 0, oid: 2840, r: -1.0
aid: 0, oid: 3602, r: -1.0
aid: 2, oid: 5141, r: -1.0
aid: 2, oid: 5141, r: 9.0
aid: 3, oid: 1045, r: -61.0
Terminate!
aid: 2, oid: 1809, r: -1.0
aid: 3, oid: 538, r: -1.0
aid: 1, oid: 538, r: -11.0
aid: 1, oid: 538, r: -11.0
aid: 3, oid: 792, r: 9.0
aid: 0, oid: 2586, r: -1.0
aid: 3, oid: 2840, r: -1.0
aid: 0, oid: 8218, r: -1.0
aid: 0, oid: 1825, r: -51.0
Terminate!
aid: 3, oid: 1317, r: -11.0
aid: 0, oid: 1317, r: -11.0
aid: 0, oid: 1317, r: -11.0
aid: 0, oid: 1317, r: -11.0
aid: 1, oid: 1301, r: -1.0
aid: 2, oid: 1317, r: -1.0
aid: 2, oid: 1825, r: -1.0
aid: 3, oid: 538, r: -1.0
